date,goal3Completions,goal5Completions
2019-08-11,0,8
2019-08-12,3,8
2019-08-13,2,9
2019-08-14,1,2
2019-08-15,1,0
2019-08-16,5,0
2019-08-17,2,3
2019-08-18,4,3
2019-08-19,3,3
2019-08-20,4,4
2019-08-21,2,4
2019-08-22,2,2
2019-08-23,4,3
2019-08-24,1,2
2019-08-25,5,1
2019-08-26,1,2
2019-08-27,4,6
2019-08-28,6,4
2019-08-29,1,3
2019-08-30,1,1
2019-08-31,6,3
2019-09-01,3,2
2019-09-02,9,8
2019-09-03,8,6
2019-09-04,5,3
2019-09-05,0,8
2019-09-06,1,4
2019-09-07,0,1
2019-09-08,2,4
2019-09-09,0,12
2019-09-10,0,5
2019-09-11,2,1
2019-09-12,4,2
2019-09-13,5,3
2019-09-14,2,0
2019-09-15,1,2
2019-09-16,1,4
2019-09-17,4,6
2019-09-18,3,7
2019-09-19,1,2
2019-09-20,3,1
2019-09-21,4,3
2019-09-22,3,1
2019-09-23,2,4
2019-09-24,5,8
2019-09-25,4,2
2019-09-26,1,1
2019-09-27,1,2
2019-09-28,0,2
2019-09-29,3,3
2019-09-30,5,2
2019-10-01,2,6
2019-10-02,5,3
2019-10-03,0,4
2019-10-04,0,5
2019-10-05,1,4
2019-10-06,1,3
2019-10-07,0,6
2019-10-08,1,8
